xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,key_resp_3.keys,key_resp_3.rt,NewStimTimeStamp,EndNewStimTimeStamp,StartTrialTimeStamp,resp.keys,resp.corr,key_resp_8.keys,key_resp_8.rt,computedRewardOutput,learningStimOnset,learningFixOnset,EndTrialTimeStamp,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,0.423585891724,,,,,,,,,,,,,,,LearningTask,,,59.9617153469,3,2015_Jun_02_1101,19,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.698018074036,,,,,,,,,,,,,LearningTask,,,59.9617153469,3,2015_Jun_02_1101,19,
,,,,,,,,,,,,,,,,,,,,,,,,,space,0.599086999893,,,,,,,,,,,,,,,LearningTask,,,59.9617153469,3,2015_Jun_02_1101,19,
200,s,-200,,,,,,,,,0,0,0,0,None,0,0,0,2,,,,,,,,,,10.2199990749,10.2201981544,13.2159881592,s,1,None,0.208394050598,0.94,0.516251087189,0.000943183898926,16.2179729939,0.16726398468,LearningTask,,,59.9617153469,3,2015_Jun_02_1101,19,
-200,q,200,,,,,,,,,0,0,0,0,None,0,1,1,1,,,,,,,,,,16.2187211514,16.2188899517,16.2201001644,q,1,None,,0.25,0.531252861023,0.00228500366211,19.2203741074,0.617599010468,LearningTask,,,59.9617153469,3,2015_Jun_02_1101,19,
-200,q,200,,,,,,,,,0,0,0,0,None,0,2,2,1,,,,,,,,,,19.2210030556,19.2211749554,19.2224071026,q,1,None,,0.44,0.514521121979,0.00214099884033,22.2228400707,0.517640829086,LearningTask,,,59.9617153469,3,2015_Jun_02_1101,19,
200,s,-200,,,,,,,,,0,0,0,0,None,0,3,3,2,,,,,,,,,,22.2234449387,22.2236130238,22.2246069908,s,1,None,,0.52,0.515015125275,0.000891208648682,25.2251031399,0.484087944031,LearningTask,,,59.9617153469,3,2015_Jun_02_1101,19,
-200,a,-200,,,,,,,,,0,0,0,0,None,1,0,4,3,,,,,,,,,,25.2257480621,25.2259130478,25.2270381451,a,1,None,,2.0,0.5144739151,0.0021870136261,28.2274420261,0.551003932953,LearningTask,,,59.9617153469,3,2015_Jun_02_1101,19,
-200,a,-200,,,,,,,,,0,0,0,0,None,1,1,5,3,,,,,,,,,,28.2283511162,28.2285611629,31.2307219505,a,1,None,,1.98,0.515743970871,0.00157690048218,34.2325620651,0.534464836121,LearningTask,,,59.9617153469,3,2015_Jun_02_1101,19,
-200,q,200,,,,,,,,,0,0,0,0,None,1,2,6,1,,,,,,,,,,34.2334301472,34.2337019444,34.2352321148,q,1,None,,3.75,0.513514995575,0.00168514251709,37.2346551418,0.601261854172,LearningTask,,,59.9617153469,3,2015_Jun_02_1101,19,
